n_seed,n_tree,idx_test,beta_ATE_coef,beta_ATE_p,beta_ITE_coef,beta_ITE_p,recov_coef,recov_p,duration
1,1000,1,1.358327858,8.34E-08,2.971991368,7.32E-09,0.776494373,2.18E-202,29.55
1,1000,2,1.179994595,2.69E-09,2.878082511,9.04E-11,0.758780655,5.08E-188,22.4
1,1000,3,1.34614335,2.09E-08,2.888611828,2.53E-10,0.782854655,7.14E-208,25.07
1,1000,4,1.276963572,6.12E-08,2.600670102,6.31E-08,0.792823557,7.45E-217,31.7
1,1000,5,1.390955764,1.56E-08,2.432657023,9.58E-08,0.762793591,3.65E-191,33.39
1,1000,6,1.341510461,6.35E-07,2.627419264,1.12E-08,0.760828093,1.29E-189,37.44
1,1000,7,1.265267087,3.55E-08,3.012757337,2.40E-08,0.769668248,1.07E-196,32.68
1,1000,8,1.234356702,4.51E-07,2.59772453,1.65E-07,0.748698062,2.19E-180,30.45
1,1000,9,1.445181354,1.37E-07,2.678560363,3.31E-10,0.789028728,2.23E-213,45.2
1,1000,10,1.330274179,1.01E-06,3.010285966,1.22E-09,0.772908599,2.25E-199,38.66
1,1000,11,1.428300068,3.52E-07,2.554595995,1.94E-07,0.77491099,4.75E-201,48.2
1,1000,12,1.292676987,5.04E-09,2.956362821,6.84E-08,0.791080386,3.00E-215,32.69
1,1000,13,1.228550513,2.71E-06,2.666084808,3.25E-07,0.778304051,6.27E-204,38.58
1,1000,14,1.261963555,4.98E-09,2.903832935,5.07E-09,0.776819755,1.16E-202,34.87
1,1000,15,1.427445666,1.50E-08,2.398364729,7.91E-11,0.783235785,3.30E-208,42.92
1,1000,16,1.248932013,4.91E-08,2.513782179,5.32E-07,0.767382039,7.76E-195,43.97
1,1000,17,1.339347181,1.21E-08,3.001268067,2.86E-10,0.793642402,1.29E-217,41.8
1,1000,18,1.253910401,6.19E-09,2.860276121,1.04E-08,0.757450466,5.43E-187,31.67
1,1000,19,1.209779319,1.74E-07,3.303488725,5.35E-10,0.726998011,3.94E-165,33.65
1,1000,20,1.229431435,9.28E-07,2.687240513,2.25E-08,0.760258207,3.60E-189,28.33
1,1000,21,1.335236585,1.25E-06,2.73054796,1.88E-09,0.763077476,2.17E-191,37.67
1,1000,22,1.310014851,2.14E-08,3.039270601,8.15E-09,0.791111371,2.81E-215,40.16
1,1000,23,1.220608195,7.70E-09,2.914011204,3.46E-09,0.753347639,7.34E-184,34.02
