n_seed,n_tree,idx_test,beta_ATE_coef,beta_ATE_p,beta_ITE_coef,beta_ITE_p,recov_coef,recov_p,duration
1,1000,1,1.256747688,1.75E-07,2.781299128,2.23E-05,0.651880305,4.80E-122,33.5
1,1000,2,1.197310635,1.97E-07,2.292416052,0.000299306,0.642440931,1.75E-117,25.89
1,1000,3,1.149583326,1.76E-06,2.745278089,3.16E-05,0.651574641,6.79E-122,28.61
1,1000,4,1.201778495,9.21E-06,2.909353489,4.31E-05,0.668354335,2.07E-130,36.08
1,1000,5,1.252755983,3.04E-07,1.97504475,0.000195039,0.615929278,1.72E-105,38.51
1,1000,6,1.268145722,2.24E-05,2.314507859,0.000168891,0.652391389,2.69E-122,45.67
1,1000,7,1.239809317,2.43E-06,2.597056955,0.000116728,0.676194894,1.38E-134,37.82
1,1000,8,1.154073272,5.02E-06,2.15074259,6.91E-05,0.499203289,3.87E-64,28.14
1,1000,9,1.17478874,2.51E-06,2.544310649,1.46E-05,0.59061932,4.61E-95,37.31
1,1000,10,1.25752758,4.93E-05,2.721811759,5.44E-05,0.625877137,7.45E-110,42.72
1,1000,11,1.22720214,2.69E-06,2.765608573,0.0001105,0.674773495,8.08E-134,36.31
1,1000,12,1.301156807,9.79E-06,2.47108922,0.000473052,0.659762142,5.56E-126,28.61
1,1000,13,1.220648177,1.19E-06,2.524261813,2.41E-05,0.664201576,2.98E-128,41.2
1,1000,14,1.203977083,6.05E-07,2.549784483,1.52E-05,0.611204488,1.80E-103,32.82
1,1000,15,1.384980479,2.96E-07,2.223206039,8.50E-06,0.69044941,1.62E-142,48.23
1,1000,16,1.216668605,6.80E-06,2.043056233,1.18E-05,0.618082425,2.02E-106,43.52
1,1000,17,1.302833725,2.39E-06,2.879425111,2.99E-05,0.671428573,4.94E-132,33.39
1,1000,18,1.231948844,3.16E-07,2.480307752,7.07E-06,0.670766589,1.11E-131,30.79
1,1000,19,1.188684409,1.34E-05,2.799269264,5.83E-06,0.574023013,1.03E-88,33.93
1,1000,20,1.224801245,7.28E-06,2.434372385,9.17E-05,0.606979072,1.07E-101,30.18
1,1000,21,1.284693968,8.11E-07,2.734762453,5.54E-05,0.657226984,1.06E-124,38.74
1,1000,22,1.289894909,2.38E-06,2.536272455,9.72E-06,0.673300638,4.98E-133,37.58
1,1000,23,1.149489021,8.37E-07,2.645235308,0.000309605,0.584479267,1.14E-92,35.26
1,1000,24,1.251139424,4.77E-07,3.047696769,1.66E-07,0.672907721,8.07E-133,47.19
1,1000,25,1.210597936,4.10E-08,2.672248695,2.32E-06,0.644264694,2.37E-118,35.41
1,1000,26,1.301270259,5.28E-06,2.649844205,1.29E-05,0.652277325,3.06E-122,43.18
1,1000,27,1.184950739,2.94E-06,2.838930898,1.61E-07,0.635370519,3.61E-114,31.61
1,1000,28,1.234133076,7.89E-06,2.614084835,1.20E-05,0.628027638,8.08E-111,34.56
1,1000,29,1.216530561,1.37E-05,2.348067223,2.11E-05,0.596630905,1.86E-97,36.04
1,1000,30,1.164429316,2.46E-05,2.038049224,0.000928274,0.635987306,1.87E-114,38.31
1,1000,31,1.251033949,4.44E-07,2.903736498,1.40E-05,0.687991596,4.08E-141,45.61
1,1000,32,1.278932882,6.23E-06,2.032195539,4.26E-05,0.61777573,2.74E-106,42.86
1,1000,33,1.289322618,1.58E-06,2.199064981,0.0002505,0.634397014,1.02E-113,44.56
1,1000,34,1.328320267,4.97E-05,3.063493796,3.88E-05,0.658558118,2.26E-125,38.05
1,1000,35,1.162709053,2.31E-06,2.916776095,1.63E-05,0.597359369,9.49E-98,31.34
1,1000,36,1.329471497,1.09E-06,2.230830514,0.000192372,0.653178725,1.10E-122,38.25
1,1000,37,1.252446466,2.02E-06,2.710176759,1.65E-05,0.641535484,4.71E-117,28.97
1,1000,38,1.249388601,6.79E-07,2.421578136,0.000148723,0.683243243,1.89E-138,38.39
1,1000,39,1.2606114,3.03E-06,2.530682679,4.95E-06,0.641075898,7.77E-117,33.56
1,1000,40,1.230682497,8.84E-07,1.782489143,0.000454311,0.61555305,2.50E-105,33.33
1,1000,41,1.191571906,2.68E-06,1.923834565,0.000524789,0.60591372,2.98E-101,37.95
1,1000,42,1.123382595,5.36E-07,2.896672434,4.63E-06,0.630212695,8.32E-112,34.74
1,1000,43,1.261882155,3.80E-06,2.555380818,2.08E-05,0.661323578,8.93E-127,30.09
1,1000,44,1.205777618,9.73E-08,2.553417182,1.13E-06,0.592171706,1.12E-95,30.74
1,1000,45,1.230458724,4.45E-06,2.628975453,2.12E-05,0.648828219,1.49E-120,37.92
1,1000,46,1.197213587,3.62E-06,2.442602526,0.000159763,0.630708289,4.95E-112,28.62
1,1000,47,1.181988922,1.10E-06,2.657525837,8.42E-06,0.576320156,1.44E-89,30.47
1,1000,48,1.186732235,1.26E-06,2.295113598,0.000404703,0.59848706,3.32E-98,36.49
1,1000,49,1.195485742,1.18E-06,2.977291942,1.82E-06,0.659516698,7.40E-126,35.84
1,1000,50,1.2464288,1.03E-05,2.512297285,1.51E-08,0.603617676,2.66E-100,36.7
1,2000,1,1.254366523,7.24E-07,2.74084188,4.15E-05,0.658647494,2.04E-125,41.75
1,2000,2,1.205361678,3.69E-07,2.666885275,1.20E-05,0.658205803,3.40E-125,36.49
1,2000,3,1.2196698,4.79E-07,2.767429511,1.85E-06,0.624634775,2.66E-109,35.42
1,2000,4,1.250434661,9.44E-07,2.874228434,1.04E-06,0.696348089,6.20E-146,45.55
1,2000,5,1.357659073,1.28E-06,2.310627212,0.000674469,0.686715222,2.15E-140,56.48
1,2000,6,1.316916798,6.06E-06,2.48570151,9.24E-05,0.670299617,1.96E-131,56.64
1,2000,7,1.250130817,1.30E-06,2.922092904,8.81E-05,0.685885126,6.31E-140,43.53
1,2000,8,1.129118997,4.85E-08,2.269839357,1.21E-07,0.519958242,2.38E-70,32.14
1,2000,9,1.197357119,4.98E-07,3.228617546,1.60E-07,0.61643327,1.04E-105,41.71
1,2000,10,1.282414097,1.11E-05,3.031768027,1.00E-05,0.686961508,1.56E-140,53.79
1,2000,11,1.220889616,3.16E-06,2.88685,1.89E-06,0.651544792,7.02E-122,43.82
1,2000,12,1.245712039,1.29E-06,2.610263019,0.000242224,0.682490947,4.95E-138,42.54
1,2000,13,1.174810748,1.04E-05,2.174528539,0.000107197,0.657982626,4.40E-125,48.72
1,2000,14,1.244421128,6.53E-06,2.650085229,5.66E-06,0.648975891,1.27E-120,42.2
1,2000,15,1.28001447,2.74E-07,2.941205246,1.53E-05,0.727066365,3.55E-165,53.24
1,2000,16,1.256839805,2.92E-06,3.333632495,2.31E-06,0.669043878,8.98E-131,47.34
1,2000,17,1.279034517,6.67E-07,3.106418012,2.25E-05,0.681715989,1.33E-137,47.55
1,2000,18,1.27176362,1.06E-06,3.124797811,1.23E-06,0.66492877,1.26E-128,39
1,2000,19,1.23915919,6.31E-06,3.527792143,4.70E-06,0.668190349,2.52E-130,41.16
1,2000,20,1.17556438,1.19E-06,2.355373973,9.48E-05,0.635361057,3.64E-114,37.43
1,2000,21,1.267705501,1.32E-05,2.65741107,7.16E-05,0.683198125,2.00E-138,49.5
1,2000,22,1.251702712,5.29E-07,2.902034751,6.34E-06,0.714967463,2.71E-157,48.82
1,2000,23,1.169539249,3.88E-06,2.971447819,0.00012467,0.64744266,7.02E-120,41.39
1,2000,24,1.304947279,2.25E-07,3.21617379,5.07E-07,0.692126089,1.77E-143,54.06
1,2000,25,1.237999446,8.71E-06,3.08934875,0.000131144,0.674873636,7.14E-134,43.09
1,2000,26,1.30243691,2.12E-06,2.665558004,7.78E-05,0.686416592,3.17E-140,49.35
1,2000,27,1.204335582,2.91E-08,3.038256462,1.21E-06,0.664990462,1.17E-128,34.93
1,2000,28,1.203516478,6.97E-06,2.576009382,2.51E-05,0.637063228,5.91E-115,39.08
1,2000,29,1.228620818,5.86E-06,2.401290143,5.65E-05,0.612768502,3.89E-104,39.53
1,2000,30,1.152016473,1.23E-05,2.705449366,9.99E-05,0.662812963,1.54E-127,45.85
1,2000,31,1.296068607,7.29E-06,2.727833449,0.000105067,0.692935105,6.03E-144,57.95
1,2000,32,1.272497579,7.40E-07,2.345702311,2.99E-05,0.677417308,3.01E-135,53.3
1,2000,33,1.313418777,1.19E-06,2.30619794,7.77E-05,0.687254652,1.07E-140,58.93
1,2000,34,1.269837666,7.19E-06,3.029206415,1.19E-05,0.700185503,3.34E-148,50.07
1,2000,35,1.187674383,9.80E-07,3.037430986,1.45E-05,0.645652417,5.12E-119,44.9
1,2000,36,1.291909225,2.46E-07,2.440942357,3.00E-05,0.702780443,9.31E-150,55.8
1,2000,37,1.291806544,2.12E-06,2.594859618,1.72E-06,0.692015621,2.05E-143,55.34
1,2000,38,1.214314227,7.94E-07,2.761684559,1.74E-05,0.656763234,1.81E-124,52.85
1,2000,39,1.258757376,8.24E-07,2.946505021,5.50E-06,0.714546944,5.01E-157,56.03
1,2000,40,1.201336908,7.41E-06,2.225951366,6.27E-05,0.626688077,3.23E-110,43.87
1,2000,41,1.236259771,1.24E-06,2.638218845,2.44E-05,0.650918141,1.43E-121,50.66
1,2000,42,1.169276951,1.92E-06,3.441587303,8.56E-07,0.66570456,4.98E-129,43.91
1,2000,43,1.208006089,3.67E-06,2.657350913,1.84E-05,0.646477017,2.05E-119,44.67
1,2000,44,1.176727894,4.70E-07,2.611843386,0.000267416,0.638651869,1.07E-115,45.22
1,2000,45,1.248388322,4.99E-07,2.629407534,4.81E-05,0.66696778,1.10E-129,43.01
1,2000,46,1.170104874,9.52E-07,2.738202342,0.000163857,0.679648515,1.82E-136,41.67
1,2000,47,1.162572661,7.08E-07,2.902239797,2.51E-05,0.656202936,3.44E-124,37.72
1,2000,48,1.226008825,3.91E-06,2.625102577,9.93E-05,0.621751496,5.02E-108,43.55
1,2000,49,1.223912794,1.64E-06,2.705157842,7.95E-05,0.694187504,1.13E-144,44.98
1,2000,50,1.203676226,4.13E-06,3.090623113,2.40E-06,0.65027562,2.94E-121,46.94
1,5000,1,1.243913381,1.61E-06,3.001697692,4.80E-05,0.708983203,1.52E-153,74.22
1,5000,2,1.225822987,3.10E-07,2.87162632,5.48E-06,0.675315145,4.13E-134,60.19
1,5000,3,1.206953625,4.66E-07,3.23448291,1.05E-06,0.661813306,5.02E-127,52.86
1,5000,4,1.225869569,1.64E-07,3.056303132,4.53E-07,0.695528957,1.87E-145,71.34
1,5000,5,1.240820618,1.67E-06,2.389243478,0.000461451,0.665026996,1.12E-128,78.59
1,5000,6,1.291489415,2.20E-05,2.848256656,1.23E-05,0.704804685,5.55E-151,100.19
1,5000,7,1.225437796,1.66E-06,3.102036171,1.90E-05,0.69592606,1.10E-145,70.24
1,5000,8,1.140473917,6.48E-07,2.585859476,1.39E-06,0.543815607,4.85E-78,44.81
1,5000,9,1.200959128,2.58E-06,3.191364318,1.38E-06,0.631519422,2.12E-112,57.44
1,5000,10,1.300461478,6.14E-06,3.008911019,1.92E-05,0.709685472,5.59E-154,86.89
1,5000,11,1.199889897,5.54E-06,2.993424773,6.79E-06,0.672267165,1.77E-132,63.84
1,5000,12,1.221145404,7.14E-07,3.385146837,2.44E-05,0.681447399,1.87E-137,52.19
1,5000,13,1.22908073,6.15E-07,2.747593076,5.73E-05,0.700883529,1.28E-148,76.03
1,5000,14,1.196426917,1.15E-06,2.757744271,6.81E-06,0.681513435,1.72E-137,64.95
1,5000,15,1.328070625,3.98E-07,2.51175912,1.00E-05,0.717085676,1.21E-158,90.83
1,5000,16,1.306831924,6.05E-07,3.318326712,5.18E-07,0.686087066,4.86E-140,66.44
1,5000,17,1.271848346,1.38E-06,3.104402303,7.19E-06,0.695533719,1.86E-145,62.9
1,5000,18,1.224142607,7.44E-07,3.307969722,3.15E-07,0.684308232,4.82E-139,57.5
1,5000,19,1.216270968,3.57E-06,3.403718025,1.07E-05,0.67561434,2.85E-134,62.68
1,5000,20,1.162992044,3.19E-06,2.782620824,9.09E-05,0.662798234,1.57E-127,55.79
1,5000,21,1.311560311,3.80E-06,2.735806284,7.97E-05,0.703840886,2.13E-150,79.46
1,5000,22,1.256452521,2.09E-06,3.174194386,8.98E-06,0.713303902,3.06E-156,74.57
1,5000,23,1.181861128,4.59E-06,3.114676638,4.00E-06,0.653618574,6.66E-123,61.69
1,5000,24,1.304305799,7.80E-07,3.116482741,1.26E-06,0.712650421,7.88E-156,82.38
1,5000,25,1.218406443,1.02E-06,3.005716814,1.26E-05,0.698057138,6.12E-147,54.42
1,5000,26,1.271635757,4.05E-06,2.831715129,7.02E-05,0.715484091,1.27E-157,65.64
1,5000,27,1.202398569,1.44E-06,3.419461006,1.84E-07,0.678037885,1.38E-135,54.97
1,5000,28,1.234256882,3.54E-06,2.930493103,1.63E-05,0.654522004,2.37E-123,63.95
1,5000,29,1.174545275,2.59E-06,2.634283598,8.78E-06,0.619574223,4.52E-107,78.67
1,5000,30,1.190130841,1.02E-05,2.791242304,6.28E-05,0.677559588,2.52E-135,67.91
1,5000,31,1.261067845,2.80E-06,2.825802444,7.14E-06,0.6683832,1.99E-130,69.5
1,5000,32,1.277646527,1.58E-06,3.427234201,2.61E-05,0.70663275,4.26E-152,63.69
1,5000,33,1.333133098,1.97E-06,2.669598964,2.86E-05,0.698180435,5.17E-147,92.43
1,5000,34,1.292227538,3.70E-06,3.469002226,1.24E-05,0.711293829,5.58E-155,72.4
1,5000,35,1.21587886,2.26E-06,3.16102765,2.99E-06,0.67694538,5.43E-135,57.95
