n_seed,n_tree,idx_test,beta_ATE_coef,beta_ATE_p,beta_ITE_coef,beta_ITE_p,recov_coef,recov_p,duration
1,1000,1,1.027544041,2.59E-59,1.820561196,2.79E-08,0.517506086,1.36E-69,37.16
1,1000,2,1.017035132,1.13E-72,1.564124336,2.75E-06,0.511910696,6.86E-68,32.27
1,1000,3,1.024052738,3.28E-64,1.932122091,8.39E-12,0.488481252,4.29E-61,31.54
1,1000,4,1.018109742,6.38E-58,1.712456516,3.10E-10,0.504457929,1.14E-65,42.96
1,1000,5,1.02523002,5.93E-54,1.495627592,7.98E-07,0.535976979,1.91E-75,44.68
1,1000,6,1.01729686,6.58E-62,1.862252887,1.28E-07,0.538570267,2.69E-76,47
1,1000,7,1.028597367,7.58E-47,2.040028609,2.60E-08,0.491415036,6.46E-62,39.36
1,1000,8,1.013048282,1.70E-69,1.688208563,2.51E-09,0.357404603,1.69E-31,29.07
1,1000,9,1.013112422,1.20E-65,1.677448519,1.03E-07,0.498791648,5.09E-64,40.09
1,1000,10,1.014136914,6.44E-64,1.763664972,3.52E-09,0.476747225,6.97E-58,34.48
1,1000,11,1.026449051,1.21E-62,1.980263665,1.04E-06,0.483813056,8.42E-60,36.57
1,1000,12,1.024257178,2.49E-64,1.381593947,6.19E-07,0.542423575,1.42E-77,33.72
1,1000,13,1.016291789,5.01E-70,1.55772937,4.42E-07,0.534927188,4.20E-75,41.89
1,1000,14,1.027092344,5.01E-57,1.567901477,3.80E-08,0.527173799,1.30E-72,33.04
1,1000,15,1.025392425,7.19E-84,1.920934682,1.64E-10,0.556443059,2.28E-82,45.13
1,1000,16,1.019821958,2.93E-61,1.629184636,0.000102909,0.432107965,9.45E-47,41.79
1,1000,17,1.030604451,1.16E-57,1.685359408,3.30E-06,0.526190942,2.67E-72,35.1
1,1000,18,1.023312681,4.03E-51,1.608274228,1.06E-10,0.471778012,1.46E-56,30.78
1,1000,19,1.021537089,2.82E-56,1.996236107,3.43E-11,0.42169234,2.20E-44,36.3
1,1000,20,1.015669767,5.85E-57,1.972807421,9.23E-11,0.509372286,3.97E-67,30.89
1,1000,21,1.015859167,3.96E-58,1.791549103,3.57E-08,0.499719011,2.75E-64,39.89
1,1000,22,1.022703699,7.64E-65,1.723130844,1.42E-09,0.61971392,3.93E-107,41.17
