n_seed,n_tree,idx_test,beta_ATE_coef,beta_ATE_p,beta_ITE_coef,beta_ITE_p,recov_coef,recov_p,duration
1,1000,1,1.050648311,1.10E-37,0.96051582,0.000376598,0.365519311,5.71E-33,35.66
1,1000,2,1.031770883,1.58E-41,0.52588336,0.109629596,0.341268887,1.08E-28,34.72
1,1000,3,1.035052556,8.07E-45,1.609041192,3.38E-05,0.360338556,5.03E-32,29.55
1,1000,4,1.029989753,1.74E-36,1.052559519,0.000121444,0.313857258,2.68E-24,37.93
1,1000,5,1.04543154,1.13E-43,1.220184601,5.15E-06,0.322734444,1.13E-25,42.19
1,1000,6,1.032958985,1.30E-33,0.624952565,0.104129356,0.303984701,8.00E-23,49.88
1,1000,7,1.030197921,4.69E-49,1.558230788,0.000103328,0.389433978,1.47E-37,39.75
1,1000,8,1.038329349,2.61E-49,1.567837628,2.83E-06,0.274978106,8.30E-19,28.84
1,1000,9,1.040282432,5.72E-41,1.34483043,6.14E-06,0.30029338,2.76E-22,38.77
1,1000,10,1.028755875,5.99E-40,1.500828115,0.000652683,0.30835614,1.81E-23,34.76
1,1000,11,1.039666589,5.04E-36,0.243951099,0.33678124,0.298867155,4.42E-22,36.72
1,1000,12,1.031099972,5.46E-36,1.777103197,0.000109895,0.347807809,8.23E-30,31.3
1,1000,13,1.031423589,6.66E-41,1.326847526,0.000748883,0.345639496,1.94E-29,40.48
1,1000,14,1.028340457,5.44E-38,1.371588604,0.001481007,0.377644663,3.00E-35,36.77
1,1000,15,1.038702832,1.43E-41,1.796906191,1.37E-05,0.372443909,2.93E-34,46.81
1,1000,16,1.028413061,1.27E-36,0.933325808,0.034917433,0.291294585,5.22E-21,42.34
1,1000,17,1.049292127,1.94E-39,1.583890187,0.001919132,0.354684014,5.16E-31,37.35
1,1000,18,1.040525478,9.64E-42,1.171630917,0.003186753,0.32632844,3.05E-26,29.68
1,1000,19,1.030745135,6.79E-37,0.675620155,0.087741925,0.301763937,1.69E-22,36.88
1,1000,20,1.044849651,8.21E-38,1.076993935,3.86E-05,0.338440269,3.21E-28,30.09
1,1000,21,1.031077443,2.04E-36,1.20264156,0.00463371,0.35049351,2.81E-30,38
1,1000,22,1.034208038,7.28E-42,0.643442088,0.090153131,0.313374796,3.17E-24,36.27
1,1000,23,1.032142237,3.41E-38,1.11760302,0.001532203,0.273679092,1.22E-18,35.25
1,1000,24,1.045224576,3.18E-42,1.6940952,0.000547101,0.30097961,2.19E-22,42.61
1,1000,25,1.041802299,3.81E-42,1.01429385,0.009628896,0.307659324,2.29E-23,35.31
1,1000,26,1.049588723,8.59E-40,0.966133894,0.002722977,0.320261575,2.76E-25,42.58
1,1000,27,1.035777502,5.15E-36,1.497074241,2.37E-06,0.300886944,2.26E-22,33.65
1,1000,28,1.035887459,5.42E-39,1.523822737,1.01E-06,0.348304608,6.76E-30,36.15
1,1000,29,1.040104884,5.57E-34,1.047534307,0.010477961,0.242038268,8.49E-15,36.67
1,1000,30,1.025420523,2.15E-35,0.824375353,0.009238195,0.321746756,1.62E-25,34.06
1,1000,31,1.025855029,8.85E-37,0.699432507,0.053238818,0.286703484,2.25E-20,38.8
1,1000,32,1.038686434,1.94E-36,0.310770664,0.306642314,0.288730717,1.18E-20,36.68
1,1000,33,1.040556257,1.94E-35,0.647072693,0.068065682,0.302269652,1.42E-22,41.24
1,1000,34,1.033713855,6.29E-36,1.026441817,0.039094273,0.318839141,4.59E-25,36.11
1,1000,35,1.025545323,6.44E-41,1.029414058,0.005863072,0.291378795,5.08E-21,35.39
1,1000,36,1.031514564,8.75E-45,0.882501046,0.011229943,0.384761175,1.24E-36,43.3
1,1000,37,1.035994194,5.08E-38,1.274799238,0.001039875,0.393467628,2.26E-38,34.7
1,1000,38,1.041148373,5.34E-36,1.187656401,0.002212064,0.290525803,6.67E-21,38.7
1,1000,39,1.037664802,1.89E-35,1.460900418,0.001183222,0.312149084,4.87E-24,31.08
1,1000,40,1.048939858,4.10E-38,0.7897604,0.00762477,0.333188718,2.37E-27,35.22
1,1000,41,1.033267157,3.10E-44,0.490684099,0.112765276,0.309973955,1.03E-23,40.53
1,1000,42,1.019545416,1.66E-46,1.759348215,0.000140463,0.339150292,2.44E-28,37.41
1,1000,43,1.045005938,5.96E-38,1.244783691,0.001205251,0.36141059,3.22E-32,33.39
1,1000,44,1.036618628,8.18E-41,1.476328535,3.36E-05,0.336374708,7.08E-28,32.64
1,1000,45,1.043592547,2.04E-39,1.214582943,0.02304501,0.37041033,7.06E-34,37.22
1,1000,46,1.037196789,6.83E-43,1.358544038,0.000757003,0.335019498,1.19E-27,32.87
1,1000,47,1.026040741,2.88E-39,1.208833444,0.002372625,0.312841604,3.82E-24,29.33
1,1000,48,1.035382615,1.14E-42,1.308326236,2.54E-05,0.323823598,7.61E-26,38.62
1,1000,49,1.025539919,1.03E-43,0.919633343,0.056612123,0.368383429,1.69E-33,37.94
1,1000,50,1.021250105,6.07E-36,1.177560183,0.001231793,0.297218559,7.62E-22,39.39
1,2000,1,1.046852439,1.50E-37,1.50168672,0.001727323,0.340018439,1.75E-28,47.02
1,2000,2,1.04333732,9.42E-43,1.035245048,0.018488097,0.358696399,9.94E-32,40.08
1,2000,3,1.035139188,5.99E-40,1.702759486,2.57E-06,0.31453022,2.12E-24,35.18
1,2000,4,1.053038396,1.25E-37,1.370984847,2.89E-05,0.327148831,2.25E-26,43.5
1,2000,5,1.039053621,1.49E-38,1.370650179,5.26E-06,0.326668507,2.69E-26,47.22
1,2000,6,1.040939796,9.60E-41,1.456819778,0.000280989,0.304590008,6.52E-23,58.16
1,2000,7,1.027985768,3.82E-46,1.316648573,0.002319329,0.399728568,1.17E-39,46.31
1,2000,8,1.030131538,3.51E-43,1.424923073,4.65E-07,0.313705372,2.83E-24,33.38
1,2000,9,1.050259257,4.91E-41,1.440687955,2.90E-05,0.322370519,1.29E-25,47.51
1,2000,10,1.031459931,7.54E-38,1.473573983,1.76E-07,0.302668052,1.25E-22,39.22
1,2000,11,1.033962666,1.01E-41,1.658509647,0.000163753,0.323495856,8.58E-26,41.22
1,2000,12,1.034571569,9.74E-42,1.306535427,0.003085694,0.341260608,1.08E-28,42.55
1,2000,13,1.034226217,8.47E-41,1.336769732,0.00021143,0.353502531,8.35E-31,48.7
1,2000,14,1.04201704,1.28E-37,1.286083222,7.91E-06,0.373388711,1.94E-34,40.08
1,2000,15,1.034964511,1.56E-42,1.525595527,0.002599394,0.388951474,1.83E-37,46.98
1,2000,16,1.042582052,5.83E-41,1.361517283,0.000255705,0.323719355,7.91E-26,48.88
1,2000,17,1.040439476,4.57E-40,1.32640462,0.007647297,0.352683472,1.16E-30,39.89
1,2000,18,1.033400204,2.29E-39,1.638512897,7.79E-05,0.347562841,9.08E-30,32.58
1,2000,19,1.044168228,9.18E-35,1.492311829,0.004413969,0.362499526,2.04E-32,39.2
1,2000,20,1.035251478,1.23E-38,1.301748599,0.000278866,0.351312703,2.02E-30,35.06
1,2000,21,1.044850767,7.08E-36,1.550752742,0.000290475,0.345642432,1.94E-29,49.5
1,2000,22,1.02999633,1.06E-39,1.644149555,4.62E-05,0.35365879,7.84E-31,48.69
1,2000,23,1.035400658,1.65E-36,1.524363357,8.07E-05,0.316586125,1.02E-24,45.26
1,2000,24,1.048542491,9.19E-43,1.231043021,0.00154555,0.347353996,9.86E-30,51.13
1,2000,25,1.027300656,8.89E-37,1.414884844,0.002177651,0.363875613,1.14E-32,41.37
1,2000,26,1.034695306,7.73E-40,1.458486667,0.000743154,0.400273866,9.05E-40,51.08
1,2000,27,1.033892035,1.45E-45,1.585711475,0.000539751,0.364453264,8.97E-33,39.52
1,2000,28,1.038004045,2.89E-44,1.328681432,0.000393807,0.35884499,9.35E-32,44.19
1,2000,29,1.048128962,1.79E-36,1.511255562,0.00166283,0.307984426,2.05E-23,45.65
1,2000,30,1.022326756,3.85E-41,1.360068476,0.000269981,0.358157914,1.24E-31,46.86
1,2000,31,1.035083051,1.32E-38,1.238851757,0.001615424,0.373372774,1.96E-34,58.31
1,2000,32,1.041376374,1.90E-36,0.522401918,0.1493068,0.327663031,1.86E-26,50.52
1,2000,33,1.032265188,4.84E-35,1.338458302,0.000152067,0.329621976,9.01E-27,41.16
1,2000,34,1.031345888,1.53E-34,1.714678477,0.000103291,0.37126668,4.88E-34,43.14
1,2000,35,1.034635181,1.60E-44,1.617373225,3.75E-05,0.328007563,1.64E-26,35.31
1,2000,36,1.042937495,1.60E-41,1.149915752,0.003025408,0.380249326,9.44E-36,44.58
1,2000,37,1.045631877,5.45E-37,1.303125037,0.006633745,0.430978811,1.72E-46,45.53
1,2000,38,1.040206791,1.46E-37,1.479167482,0.000879367,0.301928721,1.60E-22,48.94
1,2000,39,1.031194967,3.46E-35,1.234743825,0.002707549,0.307308681,2.59E-23,37.03
1,2000,40,1.042319753,8.65E-39,1.045497518,0.013109443,0.311109236,6.99E-24,42.2
1,2000,41,1.042506785,2.86E-38,1.912805725,3.95E-07,0.350972656,2.32E-30,48.06
1,2000,42,1.021965349,2.69E-38,1.306937441,0.000559889,0.332828839,2.71E-27,45.81
1,2000,43,1.039712498,3.18E-42,1.640324345,1.63E-05,0.341103119,1.15E-28,41.91
1,2000,44,1.040879707,2.54E-39,1.738207019,1.49E-08,0.36608427,4.50E-33,43.27
1,2000,45,1.028627809,4.10E-38,1.49084071,1.36E-07,0.310144691,9.76E-24,38.15
1,2000,46,1.023765969,6.72E-40,1.538701044,0.000787393,0.315105081,1.73E-24,43.36
1,2000,47,1.043800176,1.38E-36,1.450247474,0.000529216,0.332320308,3.28E-27,37.85
1,2000,48,1.041176791,1.82E-43,1.289243022,1.33E-05,0.34187077,8.51E-29,45.57
1,2000,49,1.02757414,3.52E-42,1.411949777,0.000723394,0.354147485,6.43E-31,46.16
1,2000,50,1.028286131,2.10E-35,1.580478149,0.000178494,0.360619736,4.48E-32,49.31
1,5000,1,1.042379292,1.62E-35,1.794530738,2.71E-05,0.360799369,4.15E-32,75.03
1,5000,2,1.035798791,3.27E-43,1.539787335,5.66E-05,0.368282757,1.76E-33,59.14
1,5000,3,1.030373124,3.28E-39,1.651194234,0.000134268,0.378102714,2.45E-35,50.13
1,5000,4,1.042675314,1.54E-38,1.633836681,2.96E-05,0.377868835,2.72E-35,62.19
1,5000,5,1.037793059,7.79E-40,1.321244988,0.006187989,0.420298209,4.50E-44,80.54
1,5000,6,1.043300794,2.36E-37,1.528826487,0.00053216,0.39195618,4.56E-38,99.32
1,5000,7,1.033301257,1.16E-45,1.730798776,0.000149225,0.422975816,1.14E-44,65.61
1,5000,8,1.029780295,1.03E-39,1.454415949,1.20E-06,0.311647992,5.79E-24,40.96
1,5000,9,1.038463755,1.45E-37,1.385053485,0.000242652,0.344284403,3.31E-29,69.6
1,5000,10,1.033057957,2.15E-37,1.6764331,3.77E-06,0.343376577,4.73E-29,59.15
1,5000,11,1.036514733,9.95E-38,1.701310251,9.96E-05,0.360365978,4.97E-32,61.65
1,5000,12,1.033759932,5.77E-36,1.21159439,0.011904498,0.385338081,9.55E-37,69.26
1,5000,13,1.04001358,3.50E-39,1.896613329,5.09E-05,0.366852325,3.24E-33,75.59
1,5000,14,1.032670333,8.71E-39,1.813907697,2.16E-09,0.361324787,3.34E-32,64.65
1,5000,15,1.032031015,1.04E-36,1.353405465,0.009030673,0.393117729,2.66E-38,82.87
1,5000,16,1.031685115,2.93E-41,1.559681818,0.000403809,0.393212106,2.54E-38,82.19
1,5000,17,1.036756466,3.86E-39,1.526959231,0.002091778,0.380540719,8.28E-36,63.62
1,5000,18,1.025366498,1.49E-41,1.564509339,1.21E-05,0.331475476,4.51E-27,47.47
1,5000,19,1.037600806,4.51E-35,1.666936577,0.000967265,0.358591283,1.04E-31,61.38
1,5000,20,1.027038356,1.68E-38,1.724928382,5.86E-06,0.373526417,1.83E-34,51.95
1,5000,21,1.041790017,8.37E-36,1.539444763,0.00044264,0.390466919,9.10E-38,79.14
1,5000,22,1.030896287,1.04E-39,1.607849647,0.003587052,0.418879912,9.28E-44,71.28
1,5000,23,1.032125408,1.19E-34,1.592394768,3.66E-05,0.343887,3.87E-29,62.95
1,5000,24,1.035979212,8.26E-41,1.516495171,0.001608865,0.382385552,3.62E-36,78.16
1,5000,25,1.036707621,2.59E-39,1.620020884,7.69E-05,0.395384553,9.19E-39,61.72
1,5000,26,1.038878284,3.14E-40,1.094969102,0.01001441,0.423245003,9.88E-45,83.84
1,5000,27,1.035483473,2.35E-37,1.779235068,2.20E-05,0.370168515,7.84E-34,57.89
1,5000,28,1.036460552,1.18E-38,1.290900583,0.000146897,0.363408257,1.39E-32,66.99
1,5000,29,1.040026134,9.78E-36,1.256198688,0.001375297,0.370645354,6.38E-34,71.75
1,5000,30,1.029678067,1.31E-39,1.760151032,1.07E-07,0.35442891,5.73E-31,75.78
1,5000,31,1.032746531,5.19E-36,1.181749435,0.008809063,0.36416875,1.01E-32,77.62
1,5000,32,1.03086769,1.54E-39,1.221137619,0.001864891,0.38990997,1.18E-37,83.21
1,5000,33,1.045617397,5.80E-37,0.789845227,0.038788554,0.351954896,1.56E-30,91.08
1,5000,34,1.039213947,5.97E-39,1.345299161,0.006514265,0.360772265,4.20E-32,62.5
1,5000,35,1.037488996,1.28E-40,1.576884498,0.000108269,0.356263094,2.71E-31,52.96
1,5000,36,1.046369361,8.49E-41,1.405715009,0.004227461,0.388355318,2.41E-37,72.75
1,5000,37,1.043221782,2.00E-37,1.719922647,0.000657326,0.385859559,7.53E-37,68.55
1,5000,38,1.044296069,2.35E-38,1.660085921,3.54E-05,0.337225622,5.11E-28,69.22
1,5000,39,1.039903893,7.20E-39,1.646006058,6.33E-07,0.333287251,2.28E-27,53.95
1,5000,40,1.045797491,3.17E-38,1.479314647,2.24E-05,0.341835304,8.63E-29,65.68
1,5000,41,1.03488341,3.77E-37,1.502398978,0.000132631,0.377946653,2.63E-35,72.4
1,5000,42,1.022393652,8.30E-39,1.93116003,1.45E-05,0.390163353,1.05E-37,59.2
1,5000,43,1.043069319,6.01E-38,1.785948989,5.34E-06,0.360941217,3.91E-32,67.9
1,5000,44,1.038575554,5.04E-39,1.447253673,0.000324693,0.367372807,2.60E-33,63.51
1,5000,45,1.034934483,8.83E-40,1.682588283,0.000213398,0.392951545,2.87E-38,68.7
1,5000,46,1.029621595,9.09E-42,1.522823769,1.70E-05,0.340035065,1.74E-28,57.97
1,5000,47,1.03576195,2.52E-37,1.632601625,0.000207187,0.347337324,9.93E-30,53.22
1,5000,48,1.028997461,4.76E-43,1.511150903,1.68E-05,0.359413867,7.39E-32,60.58
1,5000,49,1.035255151,1.79E-44,1.61605355,6.06E-05,0.368782479,1.42E-33,60.5
1,5000,50,1.036538902,9.07E-37,1.671811939,2.96E-06,0.366242055,4.21E-33,62.27
1,10000,1,1.038888368,4.00E-36,1.764781151,9.38E-05,0.364045108,1.07E-32,120.25
1,10000,2,1.038188425,1.44E-41,1.4010645,0.000144606,0.390935024,7.33E-38,82.62
1,10000,3,1.029199289,5.75E-39,1.815925512,2.45E-05,0.372143908,3.34E-34,75.08
1,10000,4,1.035667218,2.42E-41,1.48135702,8.02E-05,0.375632658,7.28E-35,104.01
1,10000,5,1.0457538,1.22E-36,1.753286743,1.33E-06,0.354790893,4.94E-31,114.72
1,10000,6,1.043762995,3.36E-39,1.857631958,7.24E-06,0.38850378,2.25E-37,153.58
1,10000,7,1.033303287,5.77E-47,1.444450112,0.0015663,0.417537986,1.84E-43,97.2
1,10000,8,1.0314213,6.46E-40,1.648364976,2.26E-06,0.316508906,1.05E-24,55.08
1,10000,9,1.038585561,4.42E-40,1.51792308,0.000158217,0.399197605,1.51E-39,94.85
1,10000,10,1.033625988,1.98E-38,1.855340474,7.66E-07,0.34696625,1.15E-29,81.43
1,10000,11,1.042109182,2.62E-37,1.591278941,0.000193599,0.365419615,5.96E-33,85.58
